unit_id,est_valuation_to_buyer,est_valuation_to_seller,est_renovation_cost,living_room_solar_direction,living_room_view_score,bedroom_view_score
273800,1450000.0,930780.0,230000.0,SouthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
273830,1495000.0,971224.0,231435.0,NorthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273841,0.0,0.0,230000.0,NorthEast,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
273850,1500000.0,1002653.0,211310.0,NorthEast,"6 - Vista alta e distante, predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
273865,0.0,0.0,0.0,"","",""
273882,1525000.0,947126.0,244944.0,West,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273906,1975000.0,1334137.0,245280.0,SouthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
273919,0.0,0.0,0.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273941,2015000.0,1305381.0,270958.0,"","",""
273962,2070000.0,1388337.0,268953.0,"","",""
273976,0.0,0.0,0.0,NorthEast,"4 - Com respiro, porém com vista predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
274026,890000.0,566187.0,129133.0,West,3 - Híbrida entre 2 e 4,3 - Híbrida entre 2 e 4
274065,0.0,0.0,0.0,"","",""
274090,0.0,0.0,0.0,NorthWest,3 - Híbrida entre 2 e 4,3 - Híbrida entre 2 e 4
274098,1226500.0,726560.0,206974.0,NorthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274110,1281500.0,738611.0,206974.0,NorthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274124,1240000.0,0.0,0.0,SouthEast,3 - Híbrida entre 2 e 4,"4 - Com respiro, porém com vista predominantemente urbana"
274128,0.0,0.0,230497.0,NorthWest,3 - Híbrida entre 2 e 4,"4 - Com respiro, porém com vista predominantemente urbana"
274169,0.0,0.0,0.0,"","",""
274194,0.0,0.0,0.0,"","",""
274203,0.0,0.0,0.0,"","",""
274282,1555000.0,1037548.0,213702.0,NorthWest,"4 - Com respiro, porém com vista predominantemente urbana",3 - Híbrida entre 2 e 4
274289,1605000.0,1058666.0,197750.0,NorthEast,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
274307,0.0,0.0,0.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
274318,1290000.0,844401.0,193629.0,South,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274320,1290000.0,844401.0,193629.0,South,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274332,0.0,0.0,0.0,"","",""
274371,1530000.0,1025290.0,201852.0,North,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
274375,0.0,0.0,0.0,North,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
274387,1070000.0,717047.0,141154.0,NorthEast,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274392,1100000.0,738178.0,125294.0,SouthWest,3 - Híbrida entre 2 e 4,3 - Híbrida entre 2 e 4
274405,1125000.0,772721.0,118950.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
274416,0.0,0.0,0.0,"","",""
274423,1075000.0,722264.0,141154.0,West,"4 - Com respiro, porém com vista predominantemente urbana",3 - Híbrida entre 2 e 4
274453,1470000.0,1008296.0,168213.0,West,"4 - Com respiro, porém com vista predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
274489,790000.0,544620.0,93105.0,West,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
274504,807000.0,560324.0,106029.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
274516,0.0,0.0,80080.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
274575,1665000.0,1104370.0,238493.0,West,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
274580,1755000.0,1163818.0,238493.0,West,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274610,0.0,0.0,0.0,"","",""
274613,3740000.0,2443912.0,365694.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
274614,0.0,0.0,0.0,"","",""
274620,0.0,0.0,0.0,"","",""
274624,4390000.0,2861138.0,448442.0,South,"6 - Vista alta e distante, predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274635,0.0,0.0,0.0,SouthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
274649,"","","",West,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
274651,860000.0,549787.0,117979.0,"","",""
